,service_uid,company_name,origin_crs,origin_stn_name,origin_run_time,origin_run_date,planned_final_destination,planned_final_crs,destination_reached_crs,destination_reached_name,scheduled_arrival_time,scheduled_arrival_date,arrival_lateness,cancellation_station_crs,cancellation_station_name,cancel_code,scheduled_arrival_datetime,origin_run_datetime
35,G59368,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 10:27:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 15:25:00,2023-09-03,0,,,,2023-09-03 15:25:00,2023-09-03 10:27:00
36,L98372,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Carmarthen,CMN,CMT,Carmarthen,1900-01-01 16:10:00,2023-09-03,0,,,,2023-09-03 16:10:00,2023-09-03 10:30:00
37,S87262,Northern,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 11:40:00,2023-09-03,0,,,,2023-09-03 11:40:00,2023-09-03 10:30:00
38,J67006,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 10:55:00,2023-09-03,0,,,,2023-09-03 10:55:00,2023-09-03 10:30:00
39,N80629,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 11:30:00,2023-09-03,0,,,,2023-09-03 11:30:00,2023-09-03 10:30:00
40,P60031,Northern,MNC,Manchester Piccadilly,1900-01-01 10:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 11:12:00,2023-09-03,0,,,,2023-09-03 11:12:00,2023-09-03 10:33:00
41,P60542,Northern,MNC,Manchester Piccadilly,1900-01-01 10:45:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 12:05:00,2023-09-03,13,,,,2023-09-03 12:05:00,2023-09-03 10:45:00
42,P44005,Northern,MNC,Manchester Piccadilly,1900-01-01 10:47:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 11:47:00,2023-09-03,-2,,,,2023-09-03 11:47:00,2023-09-03 10:47:00
43,N80652,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 10:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 12:27:00,2023-09-03,0,,,,2023-09-03 12:27:00,2023-09-03 10:52:00
44,N80630,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 12:00:00,2023-09-03,0,,,,2023-09-03 12:00:00,2023-09-03 11:00:00
45,J67007,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 11:25:00,2023-09-03,0,,,,2023-09-03 11:25:00,2023-09-03 11:00:00
46,P60032,Northern,MNC,Manchester Piccadilly,1900-01-01 11:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 11:42:00,2023-09-03,0,,,,2023-09-03 11:42:00,2023-09-03 11:03:00
47,P44207,Northern,MNC,Manchester Piccadilly,1900-01-01 11:03:00,2023-09-03,Chester,CTR,CHS,Chester,1900-01-01 12:30:00,2023-09-03,20,,,,2023-09-03 12:30:00,2023-09-03 11:03:00
48,P44509,Northern,MNC,Manchester Piccadilly,1900-01-01 11:07:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 11:54:00,2023-09-03,-1,,,,2023-09-03 11:54:00,2023-09-03 11:07:00
49,L33321,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 11:14:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 13:35:00,2023-09-03,2,,,,2023-09-03 13:35:00,2023-09-03 11:14:00
50,G59372,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 11:25:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 16:25:00,2023-09-03,6,,,,2023-09-03 16:25:00,2023-09-03 11:25:00
51,L98386,Transport for Wales,SHR,Shrewsbury,1900-01-01 12:44:00,2023-09-03,Swansea,SWA,SWA,Swansea,1900-01-01 15:47:00,2023-09-03,3,MAN,Manchester Piccadilly,TG,2023-09-03 15:47:00,2023-09-03 12:44:00
52,J67008,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 11:55:00,2023-09-03,0,,,,2023-09-03 11:55:00,2023-09-03 11:30:00
53,N80631,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 12:30:00,2023-09-03,0,,,,2023-09-03 12:30:00,2023-09-03 11:30:00
54,S87238,Northern,MNC,Manchester Piccadilly,1900-01-01 11:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 12:40:00,2023-09-03,0,,,,2023-09-03 12:40:00,2023-09-03 11:30:00
55,P60033,Northern,MNC,Manchester Piccadilly,1900-01-01 11:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 12:12:00,2023-09-03,0,,,,2023-09-03 12:12:00,2023-09-03 11:33:00
56,P60547,Northern,MNC,Manchester Piccadilly,1900-01-01 11:45:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 13:05:00,2023-09-03,1,,,,2023-09-03 13:05:00,2023-09-03 11:45:00
57,P44013,Northern,MNC,Manchester Piccadilly,1900-01-01 11:49:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 12:50:00,2023-09-03,-2,,,,2023-09-03 12:50:00,2023-09-03 11:49:00
58,N80653,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 11:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 13:27:00,2023-09-03,0,,,,2023-09-03 13:27:00,2023-09-03 11:52:00
59,L33333,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 11:56:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 14:10:00,2023-09-03,-2,,,,2023-09-03 14:10:00,2023-09-03 11:56:00
60,N80632,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 13:00:00,2023-09-03,0,,,,2023-09-03 13:00:00,2023-09-03 12:00:00
61,J67009,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 12:25:00,2023-09-03,0,,,,2023-09-03 12:25:00,2023-09-03 12:00:00
62,P60228,Northern,MNC,Manchester Piccadilly,1900-01-01 12:01:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 12:49:00,2023-09-03,0,,,,2023-09-03 12:49:00,2023-09-03 12:01:00
63,P60034,Northern,MNC,Manchester Piccadilly,1900-01-01 12:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 12:42:00,2023-09-03,0,,,,2023-09-03 12:42:00,2023-09-03 12:03:00
64,L33335,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 12:15:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 14:38:00,2023-09-03,0,,,,2023-09-03 14:38:00,2023-09-03 12:15:00
65,G67960,Transpennine Express,SHE,Sheffield,1900-01-01 13:10:00,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,1900-01-01 14:49:30,2023-09-03,11,MAN,Manchester Piccadilly,I5,2023-09-03 14:49:30,2023-09-03 13:10:00
66,G59376,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 12:25:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 17:25:00,2023-09-03,4,,,,2023-09-03 17:25:00,2023-09-03 12:25:00
67,J67010,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 12:55:00,2023-09-03,0,,,,2023-09-03 12:55:00,2023-09-03 12:30:00
68,N80633,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 13:30:00,2023-09-03,0,,,,2023-09-03 13:30:00,2023-09-03 12:30:00
69,S87263,Northern,MNC,Manchester Piccadilly,1900-01-01 12:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 13:40:00,2023-09-03,0,,,,2023-09-03 13:40:00,2023-09-03 12:30:00
70,L98394,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 12:31:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 13:07:00,2023-09-03,0,,,,2023-09-03 13:07:00,2023-09-03 12:31:00
71,P60035,Northern,MNC,Manchester Piccadilly,1900-01-01 12:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 13:12:00,2023-09-03,0,,,,2023-09-03 13:12:00,2023-09-03 12:33:00
72,G70124,East Midlands Railway,MNC,Manchester Piccadilly,1900-01-01 12:44:00,2023-09-03,Norwich,NRW,NRC,Norwich,1900-01-01 17:25:00,2023-09-03,4,,,,2023-09-03 17:25:00,2023-09-03 12:44:00
73,P59715,Northern,MNC,Manchester Piccadilly,1900-01-01 12:50:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 13:50:00,2023-09-03,0,,,,2023-09-03 13:50:00,2023-09-03 12:50:00
74,N80654,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 12:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 14:27:00,2023-09-03,0,,,,2023-09-03 14:27:00,2023-09-03 12:52:00
75,P60552,Northern,MNC,Manchester Piccadilly,1900-01-01 12:52:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 14:05:00,2023-09-03,0,,,,2023-09-03 14:05:00,2023-09-03 12:52:00
76,J67011,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 13:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 13:25:00,2023-09-03,0,,,,2023-09-03 13:25:00,2023-09-03 13:00:00
77,N80634,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 13:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 14:00:00,2023-09-03,0,,,,2023-09-03 14:00:00,2023-09-03 13:00:00
78,G59572,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 13:03:00,2023-09-03,Paignton,PGN,PAI,Paignton,1900-01-01 18:00:00,2023-09-03,-1,,,,2023-09-03 18:00:00,2023-09-03 13:03:00
79,P60036,Northern,MNC,Manchester Piccadilly,1900-01-01 13:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 13:42:00,2023-09-03,-1,,,,2023-09-03 13:42:00,2023-09-03 13:03:00
80,P60230,Northern,MNC,Manchester Piccadilly,1900-01-01 13:06:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 13:56:00,2023-09-03,-1,,,,2023-09-03 13:56:00,2023-09-03 13:06:00
81,P59964,Northern,MNC,Manchester Piccadilly,1900-01-01 13:10:00,2023-09-03,Chester,CTR,CHS,Chester,1900-01-01 14:35:00,2023-09-03,0,,,,2023-09-03 14:35:00,2023-09-03 13:10:00
82,L33349,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 13:15:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 15:39:00,2023-09-03,-1,,,,2023-09-03 15:39:00,2023-09-03 13:15:00
83,G59377,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 13:25:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 18:27:00,2023-09-03,1,,,,2023-09-03 18:27:00,2023-09-03 13:25:00
84,S87264,Northern,MNC,Manchester Piccadilly,1900-01-01 13:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 14:40:00,2023-09-03,0,,,,2023-09-03 14:40:00,2023-09-03 13:30:00
85,J67012,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 13:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 13:55:00,2023-09-03,0,,,,2023-09-03 13:55:00,2023-09-03 13:30:00
86,N80635,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 13:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 14:30:00,2023-09-03,0,,,,2023-09-03 14:30:00,2023-09-03 13:30:00
87,P60037,Northern,MNC,Manchester Piccadilly,1900-01-01 13:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 14:12:00,2023-09-03,0,,,,2023-09-03 14:12:00,2023-09-03 13:33:00
88,P60557,Northern,MNC,Manchester Piccadilly,1900-01-01 13:45:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 15:01:00,2023-09-03,3,,,,2023-09-03 15:01:00,2023-09-03 13:45:00
89,G70128,East Midlands Railway,MNC,Manchester Piccadilly,1900-01-01 13:46:00,2023-09-03,Norwich,NRW,NRC,Norwich,1900-01-01 18:22:00,2023-09-03,-1,,,,2023-09-03 18:22:00,2023-09-03 13:46:00
90,P59719,Northern,MNC,Manchester Piccadilly,1900-01-01 13:51:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 14:52:00,2023-09-03,0,,,,2023-09-03 14:52:00,2023-09-03 13:51:00
91,N80655,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 13:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 15:27:00,2023-09-03,0,,,,2023-09-03 15:27:00,2023-09-03 13:52:00
92,L33360,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 13:55:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 16:10:00,2023-09-03,-3,,,,2023-09-03 16:10:00,2023-09-03 13:55:00
93,N80636,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 14:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 15:00:00,2023-09-03,0,,,,2023-09-03 15:00:00,2023-09-03 14:00:00
94,J67013,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 14:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 14:25:00,2023-09-03,0,,,,2023-09-03 14:25:00,2023-09-03 14:00:00
95,P60038,Northern,MNC,Manchester Piccadilly,1900-01-01 14:03:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 14:42:00,2023-09-03,2,,,,2023-09-03 14:42:00,2023-09-03 14:03:00
96,G59578,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 14:03:00,2023-09-03,Bristol Temple Meads,BRI,BRS,Bristol Temple Meads,1900-01-01 17:07:00,2023-09-03,3,,,,2023-09-03 17:07:00,2023-09-03 14:03:00
97,P60231,Northern,MNC,Manchester Piccadilly,1900-01-01 14:06:00,2023-09-03,Crewe,CRE,CRE,Crewe,1900-01-01 14:55:00,2023-09-03,3,,,,2023-09-03 14:55:00,2023-09-03 14:06:00
98,L33362,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 14:15:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 16:38:00,2023-09-03,2,,,,2023-09-03 16:38:00,2023-09-03 14:15:00
99,G67964,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 14:19:00,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,1900-01-01 16:51:30,2023-09-03,-1,,,,2023-09-03 16:51:30,2023-09-03 14:19:00
100,G59380,CrossCountry,MNC,Manchester Piccadilly,1900-01-01 14:25:00,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,1900-01-01 19:26:00,2023-09-03,1,,,,2023-09-03 19:26:00,2023-09-03 14:25:00
101,S87265,Northern,MNC,Manchester Piccadilly,1900-01-01 14:30:00,2023-09-03,Wilmslow,WML,WLM,Wilmslow,1900-01-01 15:40:00,2023-09-03,0,,,,2023-09-03 15:40:00,2023-09-03 14:30:00
102,N80637,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 14:30:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 15:30:00,2023-09-03,0,,,,2023-09-03 15:30:00,2023-09-03 14:30:00
103,J67014,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 14:30:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 14:55:00,2023-09-03,0,,,,2023-09-03 14:55:00,2023-09-03 14:30:00
104,L98374,Transport for Wales,MNC,Manchester Piccadilly,1900-01-01 14:30:00,2023-09-03,Carmarthen,CMN,CMT,Carmarthen,1900-01-01 20:01:00,2023-09-03,10,,,,2023-09-03 20:01:00,2023-09-03 14:30:00
105,P60039,Northern,MNC,Manchester Piccadilly,1900-01-01 14:33:00,2023-09-03,Hadfield,HDF,HAD,Hadfield,1900-01-01 15:12:00,2023-09-03,0,,,,2023-09-03 15:12:00,2023-09-03 14:33:00
106,G70131,East Midlands Railway,MNC,Manchester Piccadilly,1900-01-01 14:43:00,2023-09-03,Norwich,NRW,NRC,Norwich,1900-01-01 19:25:00,2023-09-03,1,,,,2023-09-03 19:25:00,2023-09-03 14:43:00
107,P60562,Northern,MNC,Manchester Piccadilly,1900-01-01 14:45:00,2023-09-03,Sheffield,SHF,SHE,Sheffield,1900-01-01 16:05:00,2023-09-03,1,,,,2023-09-03 16:05:00,2023-09-03 14:45:00
108,P59723,Northern,MNC,Manchester Piccadilly,1900-01-01 14:49:00,2023-09-03,Buxton,BUX,BUX,Buxton,1900-01-01 15:50:00,2023-09-03,-3,,,,2023-09-03 15:50:00,2023-09-03 14:49:00
109,N80656,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 14:52:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 16:27:00,2023-09-03,0,,,,2023-09-03 16:27:00,2023-09-03 14:52:00
110,L33375,Avanti West Coast,MNC,Manchester Piccadilly,1900-01-01 14:55:00,2023-09-03,London Euston,EUS,EUS,London Euston,1900-01-01 17:10:00,2023-09-03,-1,,,,2023-09-03 17:10:00,2023-09-03 14:55:00
111,J67015,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 15:00:00,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,1900-01-01 15:25:00,2023-09-03,0,,,,2023-09-03 15:25:00,2023-09-03 15:00:00
112,N80638,Transpennine Express,MNC,Manchester Piccadilly,1900-01-01 15:00:00,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,1900-01-01 16:00:00,2023-09-03,0,,,,2023-09-03 16:00:00,2023-09-03 15:00:00
