service_uid,company_name,origin_crs,origin_stn_name,origin_run_time,origin_run_date,planned_final_destination,planned_final_crs,destination_reached_crs,destination_reached_name,scheduled_arrival_time,scheduled_arrival_date,arrival_lateness,cancellation_station_crs,cancellation_station_name,cancel_code
J67024,Transpennine Express,MNC,Manchester Piccadilly,193000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,195500,2023-09-03,0,,,
N80647,Transpennine Express,MNC,Manchester Piccadilly,193000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,203000,2023-09-03,0,,,
L98382,Transport for Wales,MNC,Manchester Piccadilly,193000,2023-09-03,Swansea,SWA,SWA,Swansea,235800,2023-09-03,9,,,
S87270,Northern,MNC,Manchester Piccadilly,193000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,204000,2023-09-03,0,,,
P60049,Northern,MNC,Manchester Piccadilly,193300,2023-09-03,Hadfield,HDF,HAD,Hadfield,201200,2023-09-03,0,,,
G70145,East Midlands Railway,MNC,Manchester Piccadilly,194200,2023-09-03,Nottingham,NOT,NTN,Nottingham,212600,2023-09-03,5,,,
P60563,Northern,MNC,Manchester Piccadilly,194500,2023-09-03,Sheffield,SHF,SHE,Sheffield,210200,2023-09-03,0,,,
P59743,Northern,MNC,Manchester Piccadilly,194900,2023-09-03,Buxton,BUX,BUX,Buxton,205000,2023-09-03,4,,,
N80661,Transpennine Express,MNC,Manchester Piccadilly,195200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,212700,2023-09-03,0,,,
J67025,Transpennine Express,MNC,Manchester Piccadilly,200000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,202500,2023-09-03,0,,,
P60050,Northern,MNC,Manchester Piccadilly,200300,2023-09-03,Hadfield,HDF,HAD,Hadfield,204200,2023-09-03,0,,,
P60223,Northern,MNC,Manchester Piccadilly,200800,2023-09-03,Crewe,CRE,CRE,Crewe,205700,2023-09-03,-1,,,
G67976,Transpennine Express,MNC,Manchester Piccadilly,201800,2023-09-03,Cleethorpes,CLE,DON,Doncaster,213430,2023-09-03,0,SCU,Scunthorpe,TH
L33444,Avanti West Coast,MNC,Manchester Piccadilly,202100,2023-09-03,London Euston,EUS,EUS,London Euston,225700,2023-09-03,3,,,
S87240,Northern,MNC,Manchester Piccadilly,203000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,214000,2023-09-03,0,,,
J67026,Transpennine Express,MNC,Manchester Piccadilly,203000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,205500,2023-09-03,0,,,
L98388,Transport for Wales,MNC,Manchester Piccadilly,203000,2023-09-03,Cardiff Central,CDF,MNC,Manchester Piccadilly,001400,2023-09-03,CANCELLED AT ORIGIN,MAN,Manchester Piccadilly,YI
N80648,Transpennine Express,MNC,Manchester Piccadilly,203000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,213000,2023-09-03,0,,,
G70149,East Midlands Railway,MNC,Manchester Piccadilly,204300,2023-09-03,Nottingham,NOT,NTN,Nottingham,223100,2023-09-03,1,,,
P60568,Northern,MNC,Manchester Piccadilly,204500,2023-09-03,Sheffield,SHF,SHE,Sheffield,220200,2023-09-03,5,,,
P59747,Northern,MNC,Manchester Piccadilly,204900,2023-09-03,Buxton,BUX,BUX,Buxton,215000,2023-09-03,-2,,,
N80662,Transpennine Express,MNC,Manchester Piccadilly,205200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,222700,2023-09-03,0,,,
L33447,Avanti West Coast,MNC,Manchester Piccadilly,205600,2023-09-03,London Euston,EUS,EUS,London Euston,234200,2023-09-03,2,,,
J67027,Transpennine Express,MNC,Manchester Piccadilly,210000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,212500,2023-09-03,0,,,
P60051,Northern,MNC,Manchester Piccadilly,210100,2023-09-03,Hadfield,HDF,HAD,Hadfield,214000,2023-09-03,0,,,
P59972,Northern,MNC,Manchester Piccadilly,210400,2023-09-03,Chester,CTR,CHS,Chester,223000,2023-09-03,3,,,
G59060,CrossCountry,MNC,Manchester Piccadilly,210900,2023-09-03,Birmingham New Street,BHM,BHA,Birmingham New Street,224800,2023-09-03,4,,,
P60226,Northern,MNC,Manchester Piccadilly,211400,2023-09-03,Crewe,CRE,CRE,Crewe,220300,2023-09-03,-2,,,
J67028,Transpennine Express,MNC,Manchester Piccadilly,213000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,215500,2023-09-03,0,,,
N80649,Transpennine Express,MNC,Manchester Piccadilly,213000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,223000,2023-09-03,0,,,
S87241,Northern,MNC,Manchester Piccadilly,213000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,224000,2023-09-03,0,,,
L98358,Transport for Wales,MNC,Manchester Piccadilly,213500,2023-09-03,Crewe,CRE,CRE,Crewe,221200,2023-09-03,0,,,
G70159,East Midlands Railway,MNC,Manchester Piccadilly,214400,2023-09-03,Nottingham,NOT,NTN,Nottingham,233830,2023-09-03,2,,,
P59751,Northern,MNC,Manchester Piccadilly,215000,2023-09-03,Buxton,BUX,BUX,Buxton,225100,2023-09-03,-3,,,
N80663,Transpennine Express,MNC,Manchester Piccadilly,215200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,232700,2023-09-03,0,,,
J67029,Transpennine Express,MNC,Manchester Piccadilly,220000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,222500,2023-09-03,0,,,
G59063,CrossCountry,MNC,Manchester Piccadilly,220400,2023-09-03,Birmingham New Street,BHM,BHA,Birmingham New Street,233400,2023-09-03,14,,,
P60229,Northern,MNC,Manchester Piccadilly,221500,2023-09-03,Crewe,CRE,CRE,Crewe,230300,2023-09-03,-2,,,
G67980,Transpennine Express,MNC,Manchester Piccadilly,221800,2023-09-03,Sheffield,SHF,SHE,Sheffield,230900,2023-09-03,3,,,
G70155,East Midlands Railway,MNC,Manchester Piccadilly,222300,2023-09-03,Nottingham,NOT,NTN,Nottingham,002300,2023-09-03,0,,,
S87242,Northern,MNC,Manchester Piccadilly,223000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,234000,2023-09-03,0,,,
N80650,Transpennine Express,MNC,Manchester Piccadilly,223000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,233000,2023-09-03,0,,,
L98360,Transport for Wales,MNC,Manchester Piccadilly,223000,2023-09-03,Crewe,CRE,CRE,Crewe,231000,2023-09-03,-3,,,
P59755,Northern,MNC,Manchester Piccadilly,224800,2023-09-03,Buxton,BUX,BUX,Buxton,235100,2023-09-03,-5,,,
N80664,Transpennine Express,MNC,Manchester Piccadilly,225200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,002700,2023-09-03,0,,,
P60241,Northern,MNC,Manchester Piccadilly,230000,2023-09-03,Crewe,CRE,CRE,Crewe,234800,2023-09-03,0,,,
J67030,Transpennine Express,MNC,Manchester Piccadilly,230000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,232500,2023-09-03,0,,,
S87243,Northern,MNC,Manchester Piccadilly,233000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,001000,2023-09-03,0,,,
