service_uid,company_name,origin_crs,origin_stn_name,origin_run_time,origin_run_date,planned_final_destination,planned_final_crs,destination_reached_crs,destination_reached_name,scheduled_arrival_time,scheduled_arrival_date,arrival_lateness,cancellation_station_crs,cancellation_station_name,cancel_code
N80628,Transpennine Express,MNC,Manchester Piccadilly,100000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,110000,2023-09-03,0,,,
J67005,Transpennine Express,MNC,Manchester Piccadilly,100000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,102500,2023-09-03,0,,,
P44230,Northern,MNC,Manchester Piccadilly,100300,2023-09-03,Hadfield,HDF,HAD,Hadfield,104200,2023-09-03,1,,,
G67956,Transpennine Express,MNC,Manchester Piccadilly,101400,2023-09-03,Cleethorpes,CLE,CLT,Cleethorpes,125230,2023-09-03,2,,,
L33311,Avanti West Coast,MNC,Manchester Piccadilly,102100,2023-09-03,London Euston,EUS,EUS,London Euston,125400,2023-09-03,-5,,,
G59368,CrossCountry,MNC,Manchester Piccadilly,102700,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,152500,2023-09-03,0,,,
L98372,Transport for Wales,MNC,Manchester Piccadilly,103000,2023-09-03,Carmarthen,CMN,CMT,Carmarthen,161000,2023-09-03,0,,,
S87262,Northern,MNC,Manchester Piccadilly,103000,2023-09-03,Wilmslow,WML,WLM,Wilmslow,114000,2023-09-03,0,,,
J67006,Transpennine Express,MNC,Manchester Piccadilly,103000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,105500,2023-09-03,0,,,
N80629,Transpennine Express,MNC,Manchester Piccadilly,103000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,113000,2023-09-03,0,,,
P60031,Northern,MNC,Manchester Piccadilly,103300,2023-09-03,Hadfield,HDF,HAD,Hadfield,111200,2023-09-03,0,,,
P60542,Northern,MNC,Manchester Piccadilly,104500,2023-09-03,Sheffield,SHF,SHE,Sheffield,120500,2023-09-03,13,,,
P44005,Northern,MNC,Manchester Piccadilly,104700,2023-09-03,Buxton,BUX,BUX,Buxton,114700,2023-09-03,-2,,,
N80652,Transpennine Express,MNC,Manchester Piccadilly,105200,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,122700,2023-09-03,0,,,
N80630,Transpennine Express,MNC,Manchester Piccadilly,110000,2023-09-03,Huddersfield,HUD,HDR,Huddersfield,120000,2023-09-03,0,,,
J67007,Transpennine Express,MNC,Manchester Piccadilly,110000,2023-09-03,Manchester Airport,MIA,MNC,Manchester Airport,112500,2023-09-03,0,,,
P60032,Northern,MNC,Manchester Piccadilly,110300,2023-09-03,Hadfield,HDF,HAD,Hadfield,114200,2023-09-03,0,,,
P44207,Northern,MNC,Manchester Piccadilly,110300,2023-09-03,Chester,CTR,CHS,Chester,123000,2023-09-03,20,,,
P44509,Northern,MNC,Manchester Piccadilly,110700,2023-09-03,Crewe,CRE,CRE,Crewe,115400,2023-09-03,-1,,,
L33321,Avanti West Coast,MNC,Manchester Piccadilly,111400,2023-09-03,London Euston,EUS,EUS,London Euston,133500,2023-09-03,2,,,
G59372,CrossCountry,MNC,Manchester Piccadilly,112500,2023-09-03,Bournemouth,BMH,BOM,Bournemouth,162500,2023-09-03,6,,,
L98386,Transport for Wales,SHR,Shrewsbury,124400,2023-09-03,Swansea,SWA,SWA,Swansea,154700,2023-09-03,3,MAN,Manchester Piccadilly,TG
